,book_id,genre,Book-Rating,book_title,generic_genre
26,42906,Fantasy,,The Queen of the Damned,Fantasy
26,42906,Fiction,,The Queen of the Damned,Fiction
26,42906,Gothic fiction,,The Queen of the Damned,Horror
28,45047,Science Fiction,,The Memory of Earth,Science Fiction
28,45047,Speculative fiction,,The Memory of Earth,Science Fiction
28,45047,Fiction,,The Memory of Earth,Fiction
31,60128,Science Fiction,,Foundation's Edge,Science Fiction
31,60128,Speculative fiction,,Foundation's Edge,Science Fiction
31,60128,Novel,,Foundation's Edge,Novel
33,61172,Novel,,Imitation of Life,Novel
34,61181,Autobiographical novel,,The Way of All Flesh,Autobiography/Memoir
35,61324,Fantasy,,Alice Adams,Fantasy
35,61324,Fiction,,Alice Adams,Fiction
35,61324,Romance novel,,Alice Adams,Romance
35,61324,Novel,,Alice Adams,Novel
36,63985,Science Fiction,,The Drawing of the Three,Science Fiction
36,63985,Children's literature,,The Drawing of the Three,Children's Literature
36,63985,Horror,,The Drawing of the Three,Horror
36,63985,Western fiction,,The Drawing of the Three,Other
36,63985,Speculative fiction,,The Drawing of the Three,Science Fiction
36,63985,Fantasy,,The Drawing of the Three,Fantasy
36,63985,Fiction,,The Drawing of the Three,Fiction
37,63987,Science Fiction,,The Gunslinger,Science Fiction
37,63987,Children's literature,,The Gunslinger,Children's Literature
37,63987,Horror,,The Gunslinger,Horror
37,63987,Western fiction,,The Gunslinger,Other
37,63987,Speculative fiction,,The Gunslinger,Science Fiction
37,63987,Western,,The Gunslinger,Other
37,63987,Fantasy,,The Gunslinger,Fantasy
37,63987,Fiction,,The Gunslinger,Fiction
38,64002,Science Fiction,,Wizard and Glass,Science Fiction
38,64002,Children's literature,,Wizard and Glass,Children's Literature
38,64002,Horror,,Wizard and Glass,Horror
38,64002,Speculative fiction,,Wizard and Glass,Science Fiction
38,64002,Fantasy,,Wizard and Glass,Fantasy
38,64002,Fiction,,Wizard and Glass,Fiction
39,64007,Fantasy,8.5,The Waste Lands,Fantasy
39,64007,Science Fiction,8.5,The Waste Lands,Science Fiction
39,64007,Speculative fiction,8.5,The Waste Lands,Science Fiction
39,64007,Horror,8.5,The Waste Lands,Horror
39,64007,Fiction,8.5,The Waste Lands,Fiction
40,66219,Science Fiction,,Love and Mr Lewisham,Science Fiction
40,66219,Speculative fiction,,Love and Mr Lewisham,Science Fiction
40,66219,Fiction,,Love and Mr Lewisham,Fiction
40,66219,Novel,,Love and Mr Lewisham,Novel
41,66346,Science Fiction,,The Stardroppers,Science Fiction
43,68851,Science Fiction,,The State of the Art,Science Fiction
43,68851,Speculative fiction,,The State of the Art,Science Fiction
44,68871,Science Fiction,,Use of Weapons,Science Fiction
44,68871,Speculative fiction,,Use of Weapons,Science Fiction
50,79078,Fantasy,,The Sandman: Dream Country,Fantasy
50,79078,Fiction,,The Sandman: Dream Country,Fiction
50,79078,Graphic novel,,The Sandman: Dream Country,Other
54,84938,Thriller,,The Thirty-nine Steps,Thriller
54,84938,Novel,,The Thirty-nine Steps,Novel
55,85818,Autobiography,,Nibelungenlied,Autobiography/Memoir
55,85818,Biography,,Nibelungenlied,Biography
55,85818,Poetry,,Nibelungenlied,Other
57,87742,Fiction,,Coming Up for Air,Fiction
58,88353,Science Fiction,,Shadow Puppets,Science Fiction
58,88353,Speculative fiction,,Shadow Puppets,Science Fiction
58,88353,Fantasy,,Shadow Puppets,Fantasy
58,88353,Fiction,,Shadow Puppets,Fiction
59,90119,Epistolary novel,7.5,The Whalestoe Letters,Other
59,90119,Speculative fiction,7.5,The Whalestoe Letters,Science Fiction
59,90119,Novella,7.5,The Whalestoe Letters,Other
60,92551,War novel,,Mister Roberts,Historical
62,100141,Science Fiction,,Level 7,Science Fiction
62,100141,Speculative fiction,,Level 7,Science Fiction
62,100141,Dystopia,,Level 7,Dystopian
63,106086,History,9.0,"Guns, Germs, and Steel",History
66,143836,Science Fiction,,A Descent into the Maelstrom,Science Fiction
68,144688,Detective fiction,,The Purloined Letter,Mystery
68,144688,Short story,,The Purloined Letter,Other
69,145627,Historical fiction,6.3,Master and Commander,Historical
69,145627,Fiction,6.3,Master and Commander,Fiction
69,145627,Historical novel,6.3,Master and Commander,Historical
70,145636,Fantasy,,The Devil and Daniel Webster,Fantasy
70,145636,Short story,,The Devil and Daniel Webster,Other
72,151636,Mystery,,Trent's Last Case,Mystery
72,151636,Detective fiction,,Trent's Last Case,Mystery
74,152925,Historical novel,,Waverley,Historical
75,153476,Gothic fiction,,Memnoch the Devil,Horror
75,153476,Fantasy,,Memnoch the Devil,Fantasy
75,153476,Speculative fiction,,Memnoch the Devil,Science Fiction
75,153476,Horror,,Memnoch the Devil,Horror
75,153476,Fiction,,Memnoch the Devil,Fiction
76,154524,Fiction,,The Further Adventures of Robinson Crusoe,Fiction
76,154524,Adventure novel,,The Further Adventures of Robinson Crusoe,Adventure
76,154524,Novel,,The Further Adventures of Robinson Crusoe,Novel
77,154527,Erotica,,"The 120 Days of Sodom, or the School of Libertinism",Other
78,155594,Novel,,La Curée,Novel
79,156489,Fantasy,,Harry Potter and the Order of the Phoenix,Fantasy
79,156489,Young adult literature,,Harry Potter and the Order of the Phoenix,Young Adult
79,156489,Fiction,,Harry Potter and the Order of the Phoenix,Fiction
80,157837,War novel,,Romance of the Three Kingdoms,Historical
80,157837,Historical novel,,Romance of the Three Kingdoms,Historical
81,158680,Anthropology,,The Transparent Society,Other
81,158680,Non-fiction,,The Transparent Society,Non-fiction
81,158680,Sociology,,The Transparent Society,Other
82,160764,Science Fiction,,Long Voyage Back,Science Fiction
87,168026,Autobiography,,Seven Brothers,Autobiography/Memoir
87,168026,Biography,,Seven Brothers,Biography
87,168026,Fiction,,Seven Brothers,Fiction
89,168698,Science Fiction,,Jingo,Science Fiction
89,168698,Speculative fiction,,Jingo,Science Fiction
89,168698,Fantasy,,Jingo,Fantasy
89,168698,Fiction,,Jingo,Fiction
90,172010,Novel,,Season of the Jew,Novel
94,176395,Epistolary novel,,The Sorrows of Young Werther,Other
96,181163,Science Fiction,,The Last Continent,Science Fiction
96,181163,Speculative fiction,,The Last Continent,Science Fiction
96,181163,Fantasy,,The Last Continent,Fantasy
96,181163,Fiction,,The Last Continent,Fiction
101,189288,Children's literature,,The Adventures of Captain Underpants,Children's Literature
101,189288,Humour,,The Adventures of Captain Underpants,Comedy
102,189652,Science Fiction,8.76923076923077,The Rowan,Science Fiction
102,189652,Speculative fiction,8.76923076923077,The Rowan,Science Fiction
102,189652,Fantasy,8.76923076923077,The Rowan,Fantasy
102,189652,Fiction,8.76923076923077,The Rowan,Fiction
103,190089,Science Fiction,,Andromeda,Science Fiction
106,193850,Fiction,,Raintree County,Fiction
108,200701,Science Fiction,,Xenocide,Science Fiction
108,200701,Speculative fiction,,Xenocide,Science Fiction
108,200701,Fantasy,,Xenocide,Fantasy
108,200701,Fiction,,Xenocide,Fiction
109,202147,Fiction,,Fanny Hill,Fiction
110,205952,Science Fiction,,The Man Who Awoke,Science Fiction
111,207945,Philosophy,,Critique of Dialectical Reason,Philosophy
113,213055,Fiction,,The Woman Who Did,Fiction
113,213055,Romance novel,,The Woman Who Did,Romance
116,214912,Speculative fiction,,Uncle Cleans Up,Science Fiction
116,214912,Children's literature,,Uncle Cleans Up,Children's Literature
117,216750,Historical fiction,,Framley Parsonage,Historical
117,216750,Fiction,,Framley Parsonage,Fiction
117,216750,Romance novel,,Framley Parsonage,Romance
119,219019,Fantasy,7.0,Sweep,Fantasy
119,219019,Young adult literature,7.0,Sweep,Young Adult
119,219019,Fiction,7.0,Sweep,Fiction
121,220354,Treatise,,Principles of Economics,Other
121,220354,Non-fiction,,Principles of Economics,Non-fiction
122,221714,Thriller,,Battle Royale,Thriller
122,221714,Alternate history,,Battle Royale,Historical
122,221714,Speculative fiction,,Battle Royale,Science Fiction
122,221714,Dystopia,,Battle Royale,Dystopian
122,221714,Utopian and dystopian fiction,,Battle Royale,Dystopian
124,224500,Crime Fiction,,A Study in Scarlet,Crime
124,224500,Mystery,,A Study in Scarlet,Mystery
124,224500,Detective fiction,,A Study in Scarlet,Mystery
124,224500,Novel,,A Study in Scarlet,Novel
125,224528,Fiction,,Cranford,Fiction
127,225536,Science Fiction,,Ann Veronica,Science Fiction
127,225536,Fiction,,Ann Veronica,Fiction
127,225536,Novel,,Ann Veronica,Novel
129,230016,Fiction,,Phineas Redux,Fiction
129,230016,Romance novel,,Phineas Redux,Romance
129,230016,Picaresque novel,,Phineas Redux,Other
130,230092,Speculative fiction,,The Guns of Avalon,Science Fiction
130,230092,Fantasy,,The Guns of Avalon,Fantasy
131,230094,Speculative fiction,,Sign of the Unicorn,Science Fiction
131,230094,Fantasy,,Sign of the Unicorn,Fantasy
132,233097,Fiction,,The Eustace Diamonds,Fiction
133,239007,Speculative fiction,7.8,The Practice Effect,Science Fiction
134,239433,Fiction,,The History Man,Fiction
134,239433,Novel,,The History Man,Novel
137,256424,Science Fiction,,Article 23,Science Fiction
137,256424,Speculative fiction,,Article 23,Science Fiction
137,256424,Fiction,,Article 23,Fiction
137,256424,Novel,,Article 23,Novel
138,264104,Children's literature,,The Haunted Mask,Children's Literature
138,264104,Horror,,The Haunted Mask,Horror
138,264104,Speculative fiction,,The Haunted Mask,Science Fiction
138,264104,Fiction,,The Haunted Mask,Fiction
139,269893,Speculative fiction,,Prince of Chaos,Science Fiction
139,269893,Fantasy,,Prince of Chaos,Fantasy
140,271158,Fiction,,The Love of the Last Tycoon,Fiction
140,271158,Novel,,The Love of the Last Tycoon,Novel
142,275384,Music,,Soul Music,Other
142,275384,Science Fiction,,Soul Music,Science Fiction
142,275384,Speculative fiction,,Soul Music,Science Fiction
142,275384,Fantasy,,Soul Music,Fantasy
142,275384,Fiction,,Soul Music,Fiction
144,284398,Comic book,,The Blue Lotus,Other
145,287085,Satire,,Myra Breckinridge,Satire
145,287085,Novel,,Myra Breckinridge,Novel
146,287638,Novel,,Virginia,Novel
147,290765,Children's literature,7.857142857142857,The Magic School Bus at the Waterworks,Children's Literature
147,290765,Science,7.857142857142857,The Magic School Bus at the Waterworks,Science
148,292192,Novel,,Things My Girlfriend and I Have Argued About,Novel
150,296043,Fiction,,Oblomov,Fiction
152,300390,Children's literature,,Artemis Fowl: The Eternity Code,Children's Literature
152,300390,Fantasy,,Artemis Fowl: The Eternity Code,Fantasy
153,306344,Crime Fiction,,Hallowe'en Party,Crime
154,306554,Fiction,,Lies and the Lying Liars Who Tell Them,Fiction
154,306554,Humour,,Lies and the Lying Liars Who Tell Them,Comedy
157,310625,History,,The Vicomte de Bragelonne,History
158,310660,Science Fiction,,Logan's Run,Science Fiction
158,310660,Speculative fiction,,Logan's Run,Science Fiction
158,310660,Dystopia,,Logan's Run,Dystopian
160,312623,Biographical novel,,Schindler's Ark,Other
160,312623,Fiction,,Schindler's Ark,Fiction
160,312623,Historical novel,,Schindler's Ark,Historical
161,318747,Crime Fiction,,Ripley's Game,Crime
161,318747,Mystery,,Ripley's Game,Mystery
163,319373,Business,,General Theory of Employment Interest and Money,Business
163,319373,Economics,,General Theory of Employment Interest and Money,Economics
163,319373,Fiction,,General Theory of Employment Interest and Money,Fiction
163,319373,Non-fiction,,General Theory of Employment Interest and Money,Non-fiction
164,319805,Comic book,,Tintin in America,Other
165,321358,Science Fiction,,Katar,Science Fiction
165,321358,Speculative fiction,,Katar,Science Fiction
167,328691,Science Fiction,,The Light Fantastic,Science Fiction
167,328691,Speculative fiction,,The Light Fantastic,Science Fiction
167,328691,Fantasy,,The Light Fantastic,Fantasy
167,328691,Fiction,,The Light Fantastic,Fiction
167,328691,Suspense,,The Light Fantastic,Mystery
168,329145,Science Fiction,,True Names,Science Fiction
168,329145,Fantasy,,True Names,Fantasy
168,329145,Fiction,,True Names,Fiction
170,331778,Science Fiction,,Equal Rites,Science Fiction
170,331778,Speculative fiction,,Equal Rites,Science Fiction
170,331778,Fantasy,,Equal Rites,Fantasy
170,331778,Fiction,,Equal Rites,Fiction
173,341357,Science Fiction,,The Last Hero,Science Fiction
173,341357,Speculative fiction,,The Last Hero,Science Fiction
173,341357,Fantasy,,The Last Hero,Fantasy
173,341357,Fiction,,The Last Hero,Fiction
174,342518,Speculative fiction,,Gilgamesh the King,Science Fiction
174,342518,Fantasy,,Gilgamesh the King,Fantasy
175,343425,Speculative fiction,,The Emerald City of Oz,Science Fiction
175,343425,Fantasy,,The Emerald City of Oz,Fantasy
175,343425,Children's literature,,The Emerald City of Oz,Children's Literature
176,344101,Science Fiction,9.5,A Door Into Ocean,Science Fiction
176,344101,Speculative fiction,9.5,A Door Into Ocean,Science Fiction
176,344101,Fiction,9.5,A Door Into Ocean,Fiction
177,344833,Spy fiction,,On Her Majesty's Secret Service,Thriller
179,348200,Science Fiction,,Stand on Zanzibar,Science Fiction
179,348200,Speculative fiction,,Stand on Zanzibar,Science Fiction
179,348200,Novel,,Stand on Zanzibar,Novel
179,348200,Dystopia,,Stand on Zanzibar,Dystopian
180,349114,Autobiography,9.5,Maus,Autobiography/Memoir
180,349114,Biography,9.5,Maus,Biography
181,349907,Cyberpunk,,Count Zero,Other
181,349907,Science Fiction,,Count Zero,Science Fiction
181,349907,Speculative fiction,,Count Zero,Science Fiction
181,349907,Dystopia,,Count Zero,Dystopian
182,349909,Cyberpunk,,Mona Lisa Overdrive,Other
182,349909,Science Fiction,,Mona Lisa Overdrive,Science Fiction
182,349909,Speculative fiction,,Mona Lisa Overdrive,Science Fiction
182,349909,Novel,,Mona Lisa Overdrive,Novel
182,349909,Dystopia,,Mona Lisa Overdrive,Dystopian
183,353714,Crime Fiction,,After the Funeral,Crime
183,353714,Mystery,,After the Funeral,Mystery
183,353714,Children's literature,,After the Funeral,Children's Literature
183,353714,Fiction,,After the Funeral,Fiction
183,353714,Suspense,,After the Funeral,Mystery
184,354398,Adventure novel,,She: A History of Adventure,Adventure
184,354398,Speculative fiction,,She: A History of Adventure,Science Fiction
184,354398,Romance novel,,She: A History of Adventure,Romance
184,354398,Fantasy,,She: A History of Adventure,Fantasy
184,354398,Fiction,,She: A History of Adventure,Fiction
184,354398,Gothic fiction,,She: A History of Adventure,Horror
184,354398,Chivalric romance,,She: A History of Adventure,Other
185,358057,Science Fiction,,When Harlie Was One,Science Fiction
185,358057,Speculative fiction,,When Harlie Was One,Science Fiction
185,358057,Fiction,,When Harlie Was One,Fiction
188,362887,Non-fiction,,Death Be Not Proud,Non-fiction
188,362887,Memoir,,Death Be Not Proud,Autobiography/Memoir
189,364618,Black comedy,,The Good Soldier Švejk,Comedy
189,364618,Satire,,The Good Soldier Švejk,Satire
189,364618,Novel,,The Good Soldier Švejk,Novel
190,373711,Science Fiction,,The Truce at Bakura,Science Fiction
190,373711,Speculative fiction,,The Truce at Bakura,Science Fiction
190,373711,Fiction,,The Truce at Bakura,Fiction
192,374767,Romance novel,,The Genius and the Goddess,Romance
193,374803,Science Fiction,8.5,Balance Point,Science Fiction
193,374803,Speculative fiction,8.5,Balance Point,Science Fiction
193,374803,Fantasy,8.5,Balance Point,Fantasy
194,374924,Novel,,The Old Capital,Novel
195,375035,Science Fiction,8.0,Destiny's Way,Science Fiction
195,375035,Speculative fiction,8.0,Destiny's Way,Science Fiction
196,376954,Mystery,,The Campus Murders,Mystery
196,376954,Detective fiction,,The Campus Murders,Mystery
197,381378,Children's literature,,A Visit from St. Nicholas,Children's Literature
198,385678,Speculative fiction,,"God Bless You, Mr. Rosewater",Science Fiction
198,385678,Fiction,,"God Bless You, Mr. Rosewater",Fiction
198,385678,Novel,,"God Bless You, Mr. Rosewater",Novel
199,390168,Crime Fiction,4.5,The Cold Six Thousand,Crime
199,390168,Mystery,4.5,The Cold Six Thousand,Mystery
199,390168,Novel,4.5,The Cold Six Thousand,Novel
199,390168,Suspense,4.5,The Cold Six Thousand,Mystery
202,398933,Children's literature,7.8,Redwall,Children's Literature
202,398933,Fantasy,7.8,Redwall,Fantasy
202,398933,Speculative fiction,7.8,Redwall,Science Fiction
202,398933,Fiction,7.8,Redwall,Fiction
204,404176,Chivalric romance,,The Knight's Tale,Other
207,409036,Mystery,,"Coronation, or the Last of the Romanovs",Mystery
207,409036,Novel,,"Coronation, or the Last of the Romanovs",Novel
207,409036,History,,"Coronation, or the Last of the Romanovs",History
208,409236,Science Fiction,,Wolves of the Calla,Science Fiction
208,409236,Horror,,Wolves of the Calla,Horror
208,409236,Western fiction,,Wolves of the Calla,Other
208,409236,Speculative fiction,,Wolves of the Calla,Science Fiction
208,409236,Fantasy,,Wolves of the Calla,Fantasy
208,409236,Fiction,,Wolves of the Calla,Fiction
209,413120,Religion,,Oahspe: A New Bible,Religion
210,415267,Thriller,,The Man Who Was Thursday,Thriller
210,415267,Mystery,,The Man Who Was Thursday,Mystery
210,415267,Speculative fiction,,The Man Who Was Thursday,Science Fiction
210,415267,Fiction,,The Man Who Was Thursday,Fiction
210,415267,Novel,,The Man Who Was Thursday,Novel
211,418808,Novel,,The Mayor of Casterbridge: The Life and Death of a Man of Character,Novel
212,420985,Children's literature,,The Subtle Knife,Children's Literature
212,420985,Fantasy,,The Subtle Knife,Fantasy
212,420985,Speculative fiction,,The Subtle Knife,Science Fiction
212,420985,Fiction,,The Subtle Knife,Fiction
213,421290,Speculative fiction,,The Story of the Stone,Science Fiction
213,421290,Fantasy,,The Story of the Stone,Fantasy
214,423959,Science Fiction,,Startide Rising,Science Fiction
214,423959,Speculative fiction,,Startide Rising,Science Fiction
214,423959,Children's literature,,Startide Rising,Children's Literature
214,423959,Fiction,,Startide Rising,Fiction
214,423959,Novel,,Startide Rising,Novel
215,424021,Children's literature,,Rilla of Ingleside,Children's Literature
216,427310,Speculative fiction,,The Voyage of the Dawn Treader,Science Fiction
216,427310,Fantasy,,The Voyage of the Dawn Treader,Fantasy
216,427310,Children's literature,,The Voyage of the Dawn Treader,Children's Literature
217,438479,Parallel novel,7.222222222222222,The Wind Done Gone,Other
219,447192,Science Fiction,,Chocky,Science Fiction
219,447192,Speculative fiction,,Chocky,Science Fiction
219,447192,Fiction,,Chocky,Fiction
221,452331,Science Fiction,,Shadow of the Giant,Science Fiction
221,452331,Speculative fiction,,Shadow of the Giant,Science Fiction
221,452331,Fiction,,Shadow of the Giant,Fiction
223,453404,Science Fiction,,"The Stars, Like Dust",Science Fiction
223,453404,Speculative fiction,,"The Stars, Like Dust",Science Fiction
223,453404,Fiction,,"The Stars, Like Dust",Fiction
223,453404,Whodunit,,"The Stars, Like Dust",Other
224,457401,Speculative fiction,,Slow Learner,Science Fiction
224,457401,Short story,,Slow Learner,Other
224,457401,Fiction,,Slow Learner,Fiction
225,461501,Children's literature,,The Legend of Luke,Children's Literature
225,461501,Fantasy,,The Legend of Luke,Fantasy
225,461501,Speculative fiction,,The Legend of Luke,Science Fiction
225,461501,Fiction,,The Legend of Luke,Fiction
227,465056,Mystery,,Death from a Top Hat,Mystery
227,465056,Detective fiction,,Death from a Top Hat,Mystery
228,466470,Alternate history,8.382352941176471,The Eyre Affair,Historical
228,466470,Fiction,8.382352941176471,The Eyre Affair,Fiction
228,466470,Novel,8.382352941176471,The Eyre Affair,Novel
229,467482,Literary criticism,,Against Interpretation,Other
231,470913,Science Fiction,,Timescoop,Science Fiction
231,470913,Speculative fiction,,Timescoop,Science Fiction
233,473707,Non-fiction,8.166666666666666,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money - That the Poor and the Middle Class Do Not!",Non-fiction
234,474204,Science Fiction,,The Currents of Space,Science Fiction
234,474204,Speculative fiction,,The Currents of Space,Science Fiction
234,474204,Fiction,,The Currents of Space,Fiction
235,474327,Science Fiction,,Foundation's Fear,Science Fiction
235,474327,Speculative fiction,,Foundation's Fear,Science Fiction
236,474347,Science Fiction,,Foundation and Chaos,Science Fiction
236,474347,Speculative fiction,,Foundation and Chaos,Science Fiction
236,474347,Fiction,,Foundation and Chaos,Fiction
237,474349,Science Fiction,8.0,Foundation's Triumph,Science Fiction
237,474349,Speculative fiction,8.0,Foundation's Triumph,Science Fiction
239,475208,Novel,,The Feast of the Goat,Novel
239,475208,Fiction,,The Feast of the Goat,Fiction
239,475208,Historical novel,,The Feast of the Goat,Historical
240,475398,Speculative fiction,,The Eye of Argon,Science Fiction
240,475398,Fantasy,,The Eye of Argon,Fantasy
241,487133,Political philosophy,7.0,Hegemony or Survival,Other
241,487133,Non-fiction,7.0,Hegemony or Survival,Non-fiction
242,487486,Mystery,,The Mystery of the Yellow Room,Mystery
242,487486,Fantasy,,The Mystery of the Yellow Room,Fantasy
242,487486,Fiction,,The Mystery of the Yellow Room,Fiction
242,487486,Suspense,,The Mystery of the Yellow Room,Mystery
243,490935,Novel,,Assomoir,Novel
245,497096,Science Fiction,7.4,Rama Revealed,Science Fiction
245,497096,Speculative fiction,7.4,Rama Revealed,Science Fiction
246,497415,Science Fiction,,At the Mountains of Madness,Science Fiction
246,497415,Horror,,At the Mountains of Madness,Horror
246,497415,Speculative fiction,,At the Mountains of Madness,Science Fiction
246,497415,Mystery,,At the Mountains of Madness,Mystery
246,497415,Fiction,,At the Mountains of Madness,Fiction
246,497415,Lost World,,At the Mountains of Madness,Other
247,509726,Children's literature,,Maya the Bee,Children's Literature
249,515109,Thriller,,Ponniyin Selvan,Thriller
249,515109,Spy fiction,,Ponniyin Selvan,Thriller
249,515109,Novel,,Ponniyin Selvan,Novel
249,515109,Romance novel,,Ponniyin Selvan,Romance
249,515109,Historical novel,,Ponniyin Selvan,Historical
255,525496,Comic book,,Tintin in the Land of the Soviets,Other
256,529614,Science Fiction,,Sabriel,Science Fiction
256,529614,Children's literature,,Sabriel,Children's Literature
256,529614,Fantasy,,Sabriel,Fantasy
256,529614,Speculative fiction,,Sabriel,Science Fiction
256,529614,Fiction,,Sabriel,Fiction
257,530285,Science Fiction,,The Amber Spyglass,Science Fiction
257,530285,Children's literature,,The Amber Spyglass,Children's Literature
257,530285,Fantasy,,The Amber Spyglass,Fantasy
257,530285,Speculative fiction,,The Amber Spyglass,Science Fiction
257,530285,Fiction,,The Amber Spyglass,Fiction
259,534425,Novella,,The Mist,Other
261,539738,Novel,8.0,The Bridge on the Drina,Novel
262,542217,Comic book,,The Broken Ear,Other
263,542922,Comic book,,Tintin in the Congo,Other
264,542931,Comic book,,The Black Island,Other
269,547744,Fiction,,The Present and the Past,Fiction
270,547959,Picture book,,Jenny lives with Eric and Martin,Other
270,547959,Children's literature,,Jenny lives with Eric and Martin,Children's Literature
271,547990,Comic book,,Explorers on the Moon,Other
273,549558,Speculative fiction,,The Dragon Reborn,Science Fiction
273,549558,Fantasy,,The Dragon Reborn,Fantasy
274,549608,Speculative fiction,,The Fires of Heaven,Science Fiction
274,549608,Fantasy,,The Fires of Heaven,Fantasy
275,549687,Speculative fiction,,The Shadow Rising,Science Fiction
275,549687,Fantasy,,The Shadow Rising,Fantasy
276,553671,Non-fiction,,Free Culture: How Big Media Uses Technology and the Law to Lock Down Culture and Control Creativity,Non-fiction
277,554818,Children's literature,,Killing Mr. Griffin,Children's Literature
277,554818,Young adult literature,,Killing Mr. Griffin,Young Adult
277,554818,Fiction,,Killing Mr. Griffin,Fiction
277,554818,Suspense,,Killing Mr. Griffin,Mystery
278,562243,Speculative fiction,8.0,Lord of Chaos,Science Fiction
278,562243,Fantasy,8.0,Lord of Chaos,Fantasy
281,568642,Fiction,,A Time for Judas,Fiction
281,568642,Novel,,A Time for Judas,Novel
282,569100,Speculative fiction,,The Fifth Elephant,Science Fiction
282,569100,Fantasy,,The Fifth Elephant,Fantasy
282,569100,Fiction,,The Fifth Elephant,Fiction
283,569241,Speculative fiction,,The Confusion,Science Fiction
283,569241,Historical fiction,,The Confusion,Historical
283,569241,Fiction,,The Confusion,Fiction
283,569241,Historical novel,,The Confusion,Historical
284,573091,Novel,,Independent People,Novel
285,574991,Biography,8.0,"A Child Called ""It""",Biography
285,574991,Children's literature,8.0,"A Child Called ""It""",Children's Literature
286,581845,Gothic fiction,,The Narrative of Arthur Gordon Pym of Nantucket,Horror
286,581845,Speculative fiction,,The Narrative of Arthur Gordon Pym of Nantucket,Science Fiction
286,581845,Novel,,The Narrative of Arthur Gordon Pym of Nantucket,Novel
286,581845,Lost World,,The Narrative of Arthur Gordon Pym of Nantucket,Other
286,581845,Sea story,,The Narrative of Arthur Gordon Pym of Nantucket,Other
287,583542,Children's literature,,William Does His Bit,Children's Literature
287,583542,Fiction,,William Does His Bit,Fiction
288,588734,Speculative fiction,5.0,The Castle of Otranto,Science Fiction
292,597338,Speculative fiction,,Earthsearch,Science Fiction
293,597673,Role-playing game,,Tomb of Horrors,Other
294,598788,Speculative fiction,,Team Yankee,Science Fiction
294,598788,Novel,,Team Yankee,Novel
295,603115,Novel,,Beyond the Rocks,Novel
296,606612,Science Fiction,,Eragon,Science Fiction
296,606612,Children's literature,,Eragon,Children's Literature
296,606612,Speculative fiction,,Eragon,Science Fiction
296,606612,Young adult literature,,Eragon,Young Adult
296,606612,Fantasy,,Eragon,Fantasy
296,606612,Fiction,,Eragon,Fiction
296,606612,High fantasy,,Eragon,Fantasy
297,606784,Science Fiction,7.777777777777778,Dark Tide: Onslaught,Science Fiction
298,606789,Science Fiction,7.5,Dark Tide: Ruin,Science Fiction
298,606789,Speculative fiction,7.5,Dark Tide: Ruin,Science Fiction
299,608775,Science Fiction,,Agents of Chaos: Hero's Trial,Science Fiction
299,608775,Speculative fiction,,Agents of Chaos: Hero's Trial,Science Fiction
300,608788,Science Fiction,,Agents of Chaos: Jedi Eclipse,Science Fiction
300,608788,Speculative fiction,,Agents of Chaos: Jedi Eclipse,Science Fiction
302,610620,Alternate history,10.0,The Well of Lost Plots,Historical
302,610620,Speculative fiction,10.0,The Well of Lost Plots,Science Fiction
302,610620,Fantasy,10.0,The Well of Lost Plots,Fantasy
